Date	Price	Open	High	Low	Change %
Oct 19, 2018	1217.93	1224.17	1224.45	1215.61	0.00%
Oct 18, 2018	1217.93	1224.17	1224.45	1215.61	0.00%
Oct 17, 2018	1217.93	1224.17	1224.45	1215.61	0.00%
Oct 16, 2018	1217.93	1224.17	1224.45	1215.61	0.00%
Oct 15, 2018	1217.93	1224.17	1224.45	1215.61	0.00%
Oct 12, 2018	1217.93	1224.17	1224.45	1215.61	-0.52%
Oct 11, 2018	1224.33	1195.01	1226.87	1191.3	2.47%
Oct 10, 2018	1194.78	1189.59	1195.19	1185.22	0.43%
Oct 09, 2018	1189.62	1189.01	1192.23	1183.49	0.14%
Oct 08, 2018	1188.01	1203.14	1204.48	1183.58	-1.32%
Oct 07, 2018	1203.85	1203.31	1204.12	1202.93	0.08%
Oct 05, 2018	1202.86	1199.41	1206.18	1197.01	0.27%
Oct 04, 2018	1199.66	1197.35	1207.11	1195.76	0.19%
Oct 03, 2018	1197.37	1203.39	1208.77	1196.71	-0.48%
Oct 02, 2018	1203.1	1189.2	1208.65	1188.57	1.23%
Oct 01, 2018	1188.46	1192.55	1192.95	1184.94	-0.21%
Sep 30, 2018	1190.99	1192.51	1192.53	1190.81	-0.09%
Sep 28, 2018	1192.09	1183.21	1194	1180.74	0.79%
Sep 27, 2018	1182.8	1194.8	1198.94	1181.98	-0.98%
Sep 26, 2018	1194.46	1201.23	1202.84	1190.53	-0.57%
Sep 25, 2018	1201.31	1198.84	1203.71	1197.21	0.20%
Sep 24, 2018	1198.86	1198.56	1204.48	1194.23	0.07%
Sep 23, 2018	1198.05	1199.19	1199.38	1197.16	-0.13%
Sep 21, 2018	1199.55	1207.52	1211.47	1191.96	-0.66%
Sep 20, 2018	1207.58	1204.16	1209.14	1201.47	0.30%
Sep 19, 2018	1203.98	1197.84	1206.53	1197.81	0.47%
Sep 18, 2018	1198.35	1202.14	1204.28	1196.21	-0.21%
Sep 17, 2018	1200.93	1193.18	1205.2	1192.97	0.62%
Sep 16, 2018	1193.48	1194.38	1194.86	1193.15	-0.02%
Sep 14, 2018	1193.71	1201.76	1208.98	1193.13	-0.64%
Sep 13, 2018	1201.44	1207.3	1213.39	1200.37	-0.39%
Sep 12, 2018	1206.19	1198.93	1209.22	1192.9	0.66%
Sep 11, 2018	1198.29	1195.73	1200.12	1187.95	0.20%
Sep 10, 2018	1195.88	1195.12	1198.92	1191.52	-0.03%
Sep 09, 2018	1196.22	1195.21	1196.7	1195.05	0.03%
Sep 07, 2018	1195.86	1200.03	1204.04	1193.29	-0.36%
Sep 06, 2018	1200.14	1197.19	1207.36	1195.59	0.28%
Sep 05, 2018	1196.75	1191.18	1198.82	1191.1	0.45%
Sep 04, 2018	1191.35	1201.29	1202.31	1189.55	-0.82%
Sep 03, 2018	1201.15	1200.59	1204.59	1196.11	0.16%
Sep 02, 2018	1199.2	1201.09	1201.09	1198.85	-0.16%
Aug 31, 2018	1201.09	1200.34	1209.17	1198.43	0.10%
Aug 30, 2018	1199.88	1206.32	1208.18	1196.32	-0.56%
Aug 29, 2018	1206.66	1201.28	1207.73	1200.9	0.45%
Aug 28, 2018	1201.26	1211.44	1214.67	1199.4	-0.83%
Aug 27, 2018	1211.35	1206.92	1212.74	1202.84	0.29%
Aug 26, 2018	1207.84	1207.44	1208.02	1206.2	0.16%
Aug 24, 2018	1205.96	1185.32	1208.87	1183.32	1.74%
Aug 23, 2018	1185.31	1195.83	1197	1183.67	-0.85%
Aug 22, 2018	1195.51	1196.68	1201.9	1192.44	-0.05%
Aug 21, 2018	1196.12	1190.59	1197.38	1187.51	0.47%
Aug 20, 2018	1190.53	1183.71	1191.21	1182.63	0.58%
Aug 19, 2018	1183.66	1183.53	1184.05	1182.88	-0.09%
Aug 17, 2018	1184.77	1173.72	1185.42	1172.03	0.90%
Aug 16, 2018	1174.16	1175.73	1182.59	1160.56	-0.06%
